,0
0,신흥
1,송림
2,구월동
3,숭의
4,석바위
5,부평
6,연희
7,검단
8,계산
9,고잔
10,석남
11,송해
12,동춘
13,운서
14,송현
15,논현
16,원당
17,소사본동
18,내동
19,오정동
20,석모리
21,덕적도
22,백령도
23,본동
24,부곡동
25,중구
26,한강대로
27,종로구
28,청계천로
29,종로
30,용산구
31,광진구
32,성동구
33,강변북로
34,중랑구
35,동대문구
36,홍릉로
37,성북구
38,정릉로
39,도봉구
40,은평구
41,서대문구
42,마포구
43,신촌로
44,공항대로
45,구로구
46,영등포구
47,영등포로
48,동작구
49,동작대로 중앙차로
50,관악구
51,강남구
52,서초구
53,도산대로
54,강남대로
55,송파구
56,강동구
57,천호대로
58,금천구
59,강북구
60,양천구
61,노원구
62,화랑로
63,신풍동
64,인계동
65,광교동
66,영통동
67,천천동
68,고색동
69,단대동
70,정자동
71,수내동
72,복정동
73,운중동
74,상대원동
75,의정부동
76,의정부1동
77,부림동
78,호계동
79,철산동
80,소하동
81,고잔동
82,원시동
83,본오동
84,부곡동1
85,대부동
86,호수동
87,별양동
88,과천동
89,동구동
90,부곡3동
91,고천동
92,시화산단
93,대야동
94,금곡동
95,오남읍
96,평택항
97,금촌동
98,식사동
99,경안동
100,김량장동
101,수지
102,기흥
103,설성면
104,창전동
105,관인면
106,선단동
107,사우동
108,고촌읍
109,당동
110,산본동
111,오산동
112,신장동
113,남양읍
114,동탄
115,백석읍
116,보산동
117,봉산동
118,연천
119,가평
